dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,label
0.4544349908828735,0.0656006559729576,0.415357381105423,-0.6214330792427063,0.1720442473888397,0.2190822511911392,0.4598491787910461,0.67950040102005,-0.2471262514591217,0.6609638333320618,-0.3435283899307251,-0.125704750418663,-0.4876057803630829,0.497635930776596,-0.2092083692550659,-0.4525386691093445,0
0.6557115316390991,-0.3504870533943176,1.1065818071365356,-1.0941060781478882,0.0503930151462554,-0.0086283273994922,0.6224828362464905,0.8473299741744995,-0.1102423518896102,0.0552532896399498,0.1166968718171119,0.6260607838630676,-0.5960164666175842,0.6970277428627014,-0.2956750988960266,-0.4494778215885162,0
0.8005518317222595,0.245989441871643,-0.6388943195343018,-0.1230725795030593,0.1109998747706413,0.1424248367547989,0.474148690700531,0.4577473700046539,-1.1932977437973022,0.4212876856327057,-0.1880823969841003,-0.9742552638053894,-0.3486584424972534,0.1029210910201072,-0.0732304602861404,-0.4120514690876007,0
-0.6465603709220886,-1.018304705619812,0.150104820728302,-0.763475239276886,0.858574628829956,-0.1203721910715103,0.7383565306663513,0.5408932566642761,-0.7690187692642212,-0.2770757377147674,0.52410489320755,-0.7059387564659119,-1.5289087295532229,-0.2108319401741027,-0.2497087270021438,-0.3701515197753906,0
0.6262021064758301,0.1270970404148101,-0.0579505264759063,0.414053738117218,0.217345505952835,-0.3654724061489105,0.5627679824829102,0.7151828408241272,-0.7683087587356567,1.4055964946746826,-0.0986078530550003,0.5094761252403259,-0.967047929763794,0.6745073199272156,-0.6952874660491943,-1.4424442052841189,0
0.8539853096008301,-0.0106329321861267,0.0731240212917327,0.2214408814907074,0.4093584716320038,-0.3392140567302704,0.955034077167511,0.5531715750694275,-0.3984954059123993,0.5907101631164551,-0.1941111981868744,0.4295911192893982,-0.7061290144920349,0.3913379311561584,-0.277151882648468,-1.1406233310699463,0
0.4770128130912781,0.2889574766159057,-0.3515159785747528,0.0685259997844696,-0.004972405731678,-0.2247047126293182,0.5035957098007202,0.3725164830684662,-0.5500925183296204,1.0532633066177368,-0.818706750869751,0.1918316632509231,-0.4966469705104828,0.4112044870853424,-0.722781777381897,-0.59833163022995,0
-0.3070021867752075,0.2385183870792389,-0.2515129148960113,-0.3238353729248047,-0.0045254826545715,-0.1331459730863571,0.2529518902301788,0.0856295526027679,-0.9660813212394714,1.0583899021148682,0.7637226581573486,0.4167970418930053,-0.3603734970092773,0.7804507613182068,-0.5702527165412903,-0.7632535099983215,0
0.6550908088684082,-0.4749797880649566,0.3294447064399719,-0.7615934014320374,0.1483165025711059,0.0261963866651058,0.5118461847305298,0.2164584100246429,-0.8010558485984802,0.3099241256713867,0.3230516314506531,0.0346976444125175,-0.388882428407669,0.3864258229732513,-0.3525833487510681,-0.3119332492351532,0
-1.4287775754928589,-1.1478466987609863,1.049502968788147,0.4428674578666687,1.1201231479644775,-0.4641049802303314,-0.5412343740463257,0.2719216346740722,0.7360053658485413,-0.8624669313430786,-0.404062956571579,-0.3735106587409973,-0.0596505366265773,-0.2242534160614013,-0.3163603246212005,-0.1457144916057586,0
