vel_x,vel_y,vel_z,omega_x,omega_y,omega_z,FR_Hip_pos,FR_Thigh_pos,FR_Calf_pos,FL_Hip_pos,FL_Thigh_pos,FL_Calf_pos,RR_Hip_pos,RR_Thigh_pos,RR_Calf_pos,RL_Hip_pos,RL_Thigh_pos,RL_Calf_pos,FR_Hip_vel,FR_Thigh_vel,FR_Calf_vel,FL_Hip_vel,FL_Thigh_vel,FL_Calf_vel,RR_Hip_vel,RR_Thigh_vel,RR_Calf_vel,RL_Hip_vel,RL_Thigh_vel,RL_Calf_vel,FR_Hip_pos,FR_Thigh_pos,FR_Calf_pos,FL_Hip_pos,FL_Thigh_pos,FL_Calf_pos,RR_Hip_pos,RR_Thigh_pos,RR_Calf_pos,RL_Hip_pos,RL_Thigh_pos,RL_Calf_pos
0.001539,0.000204,0.000002,0.001503,0.034072,-0.000172,-0.377208,-0.25641,-0.445503,0.379123,-0.257835,-0.443933,-0.372352,-0.256064,-0.444778,0.373048,-0.256293,-0.444248,-0.01446,0.469454,-0.079871,0.015029,0.466831,-0.077326,0.031459,0.453114,-0.041446,-0.02765,0.451505,-0.036254,-0.377095,-0.26632,-0.44382,0.378998,-0.26767,-0.442361,-0.37288,-0.265629,-0.443879,0.373481,-0.26577,-0.443523
0.002121,0.000217,-0.000008,0.005696,0.037126,0.000256,-0.377363,-0.247126,-0.447034,0.379328,-0.248587,-0.44545,-0.371683,-0.247063,-0.445468,0.372491,-0.247345,-0.444875,-0.024842,0.454721,-0.087741,0.009962,0.448739,-0.082431,0.030073,0.442055,-0.024122,-0.039892,0.435021,-0.015128,-0.377222,-0.256359,-0.445497,0.379113,-0.257801,-0.443945,-0.372233,-0.255895,-0.44486,0.372926,-0.256142,-0.444334
0.00277,0.000225,-0.000009,-0.000361,0.040902,-0.000305,-0.377517,-0.238109,-0.448512,0.379586,-0.239663,-0.446851,-0.370904,-0.238398,-0.446016,0.371857,-0.238773,-0.445316,-0.016829,0.439124,-0.085765,0.024238,0.435643,-0.079019,0.04239,0.42062,-0.014964,-0.0346,0.418142,-0.008268,-0.377371,-0.247123,-0.447027,0.379347,-0.24858,-0.44546,-0.371518,-0.246951,-0.445561,0.372364,-0.247219,-0.444968
0.003467,0.00023,0.000014,0.001723,0.042563,-0.000638,-0.377685,-0.229427,-0.449935,0.379774,-0.231009,-0.448215,-0.370109,-0.230128,-0.44641,0.37119,-0.230564,-0.44557,-0.019365,0.421594,-0.081897,0.019318,0.418054,-0.075103,0.041178,0.401346,-0.008399,-0.03701,0.400197,0.000899,-0.377545,-0.238138,-0.448499,0.379562,-0.239673,-0.446865,-0.370773,-0.23829,-0.4461,0.371686,-0.238648,-0.445416
0.00421,0.000236,-0.000003,0.004409,0.04234,0.000072,-0.377901,-0.221115,-0.451226,0.380027,-0.222729,-0.449518,-0.369301,-0.222265,-0.446624,0.370531,-0.222732,-0.445714,-0.018929,0.40904,-0.061786,0.017502,0.398626,-0.053289,0.035335,0.384749,-0.010731,-0.038227,0.376943,-0.003368,-0.377724,-0.229468,-0.449918,0.379846,-0.231097,-0.448163,-0.369937,-0.230026,-0.446512,0.370996,-0.230483,-0.445677
0.004966,0.000246,-0.000003,0.000105,0.041453,0.000277,-0.377989,-0.213096,-0.452548,0.380166,-0.214771,-0.450809,-0.368483,-0.214776,-0.446728,0.36965,-0.215291,-0.445856,-0.010875,0.383966,-0.054303,-0.012992,0.398295,-0.080696,0.038022,0.360872,-0.001224,-0.030594,0.354084,0.002615,-0.377857,-0.22116,-0.451247,0.380092,-0.222733,-0.449531,-0.369079,-0.222177,-0.446723,0.370334,-0.222607,-0.445856
0.005729,0.000254,0.000012,0.002976,0.043627,-0.000021,-0.378169,-0.205491,-0.453736,0.380285,-0.207204,-0.452007,-0.367488,-0.207656,-0.446873,0.368774,-0.208263,-0.445889,-0.019651,0.369664,-0.052607,0.001739,0.370467,-0.057953,0.03638,0.33687,0.00131,-0.084562,0.361327,-0.038498,-0.378182,-0.213215,-0.452492,0.380227,-0.214836,-0.450778,-0.368268,-0.214684,-0.44685,0.369402,-0.21514,-0.445953
0.006487,0.000265,0,-0.000257,0.040712,0.000722,-0.378272,-0.198233,-0.454888,0.380479,-0.200016,-0.453108,-0.366576,-0.200974,-0.446869,0.367913,-0.201608,-0.445863,0.006043,0.357236,-0.057754,0.019466,0.343221,-0.041694,0.033946,0.319947,0.007753,-0.027652,0.313954,0.011913,-0.378307,-0.205581,-0.453717,0.380417,-0.20727,-0.452007,-0.367381,-0.207573,-0.446895,0.368602,-0.208156,-0.445965
0.00723,0.000269,0.000001,-0.002373,0.041671,0.000321,-0.378412,-0.191395,-0.455929,0.380621,-0.193189,-0.454157,-0.365607,-0.194639,-0.44688,0.36706,-0.195346,-0.445781,-0.014544,0.324847,-0.039733,0.018163,0.326791,-0.041921,0.066406,0.308901,-0.006631,-0.033002,0.295178,0.010543,-0.378372,-0.198345,-0.454817,0.380533,-0.200115,-0.453108,-0.366435,-0.200926,-0.446901,0.367722,-0.201525,-0.445969
0.007954,0.000271,-0.000001,-0.002492,0.037776,0.000462,-0.378475,-0.18493,-0.456945,0.380781,-0.186773,-0.45511,-0.364744,-0.188789,-0.446756,0.366246,-0.189505,-0.445635,-0.009251,0.302914,-0.034022,0.009532,0.30931,-0.038991,0.026104,0.272722,0.020119,-0.021318,0.274045,0.017716,-0.378486,-0.19148,-0.455957,0.380786,-0.193281,-0.454138,-0.365417,-0.194593,-0.446928,0.366874,-0.195267,-0.445855
