vel_x, vel_y, vel_z, omega_x, omega_y, omega_z, RF_HAA_pos, RF_HFE_pos, RF_KFE_pos, LF_HAA_pos, LF_HFE_pos, LF_KFE_pos, RH_HAA_pos, RH_HFE_pos, RH_KFE_pos, LH_HAA_pos, LH_HFE_pos, LH_KFE_pos, RF_HAA_vel, RF_HFE_vel, RF_KFE_vel, LF_HAA_vel, LF_HFE_vel, LF_KFE_vel, RH_HAA_vel, RH_HFE_vel, RH_KFE_vel, LH_HAA_vel, LH_HFE_vel, LH_KFE_vel, RF_HAA_pos, RF_HFE_pos, RF_KFE_pos, LF_HAA_pos, LF_HFE_pos, LF_KFE_pos, RH_HAA_pos, RH_HFE_pos, RH_KFE_pos, LH_HAA_pos, LH_HFE_pos, LH_KFE_pos
0.01503, -0.000042, 0.001649, -0.000246, 0.006251, 0.000167, -0.419963, -0.077304, -0.435643, 0.424366, -0.075276, -0.432547, -0.423719, -0.078097, -0.431083, 0.417375, -0.078563, -0.435713, -0.001051, 0.096636, -0.008169, 0.002195, 0.096064, -0.007656, 0.009043, 0.090819, 0.000239, -0.006982, 0.090671, 0.001106, -0.419854, -0.079498, -0.435421, 0.424283, -0.077458, -0.432319, -0.423621, -0.080202, -0.430945, 0.417257, -0.080641, -0.435597
0.014083, -0.000022, 0.001825, -0.000157, 0.006686, 0.000069, -0.419988, -0.075434, -0.4358, 0.424396, -0.073419, -0.432696, -0.42354, -0.07635, -0.431059, 0.417216, -0.076817, -0.435676, -0.001118, 0.091021, -0.007711, 0.001988, 0.090781, -0.007168, 0.009152, 0.084688, 0.001646, -0.007958, 0.085026, 0.002058, -0.419872, -0.077427, -0.435591, 0.424309, -0.07541, -0.432478, -0.423447, -0.078234, -0.430965, 0.417122, -0.078689, -0.43559
0.013095, -0.000042, 0.001961, 0.000397, 0.006847, -0.000065, -0.420012, -0.073674, -0.435952, 0.424429, -0.071668, -0.432837, -0.423355, -0.074721, -0.431015, 0.417042, -0.07518, -0.435625, -0.001182, 0.085519, -0.007441, 0.001253, 0.084865, -0.006427, 0.008659, 0.078823, 0.002561, -0.009165, 0.079239, 0.002868, -0.419896, -0.075562, -0.435748, 0.424341, -0.073555, -0.432626, -0.423284, -0.076481, -0.430956, 0.416979, -0.076936, -0.435569
0.012219, -0.000009, 0.001855, -0.000078, 0.006757, -0.000162, -0.420034, -0.072026, -0.436096, 0.424465, -0.070022, -0.432967, -0.423172, -0.073208, -0.430958, 0.416864, -0.07365, -0.435569, -0.00099, 0.079907, -0.006972, 0.001766, 0.080143, -0.006387, 0.008845, 0.073176, 0.002896, -0.008683, 0.074282, 0.002672, -0.419919, -0.073811, -0.435896, 0.424371, -0.071812, -0.432764, -0.423116, -0.074854, -0.430922, 0.41682, -0.075301, -0.43553
0.011276, 0.000006, 0.001809, -0.00014, 0.006624, -0.000124, -0.420053, -0.070488, -0.436231, 0.424496, -0.068485, -0.433091, -0.422999, -0.071803, -0.430896, 0.416688, -0.072224, -0.435513, -0.000826, 0.074046, -0.006557, 0.001716, 0.074261, -0.006021, 0.008607, 0.067517, 0.003259, -0.008565, 0.068776, 0.002816, -0.419937, -0.072174, -0.436042, 0.424404, -0.070178, -0.432888, -0.42295, -0.073347, -0.430873, 0.416651, -0.073777, -0.435478
0.010306, -0.000029, 0.00178, -0.000183, 0.006759, -0.000183, -0.420072, -0.069073, -0.436358, 0.42453, -0.067072, -0.433204, -0.422825, -0.07052, -0.430825, 0.416509, -0.070918, -0.435448, -0.000744, 0.068187, -0.006402, 0.002471, 0.06819, -0.005399, 0.00899, 0.06141, 0.003544, -0.008681, 0.062664, 0.003222, -0.419932, -0.070644, -0.436167, 0.424427, -0.068649, -0.432993, -0.422774, -0.071939, -0.430819, 0.41648, -0.072345, -0.435427
0.009334, -0.000039, 0.001778, -0.000079, 0.006659, -0.000181, -0.420088, -0.06778, -0.436478, 0.424565, -0.065776, -0.433308, -0.422648, -0.06936, -0.430746, 0.416328, -0.069735, -0.435375, -0.000674, 0.062202, -0.005994, 0.002033, 0.062329, -0.005083, 0.008829, 0.055414, 0.003868, -0.00876, 0.05668, 0.00357, -0.419951, -0.06922, -0.436295, 0.42446, -0.067222, -0.433108, -0.422629, -0.070641, -0.430763, 0.416328, -0.071023, -0.435379
0.00841, -0.00001, 0.001744, -0.000076, 0.006336, -0.000126, -0.420101, -0.066602, -0.43659, 0.424594, -0.064597, -0.433406, -0.422475, -0.068313, -0.430664, 0.416149, -0.068666, -0.435299, -0.000317, 0.056448, -0.005555, 0.001521, 0.056741, -0.004743, 0.008603, 0.050138, 0.003905, -0.008516, 0.051262, 0.00365, -0.419967, -0.067915, -0.436422, 0.424505, -0.065918, -0.433211, -0.422477, -0.069465, -0.430698, 0.416174, -0.06982, -0.43532
0.007571, -0.000033, 0.001608, 0.00022, 0.005917, -0.000168, -0.420113, -0.065535, -0.436694, 0.42462, -0.063528, -0.433496, -0.422309, -0.067371, -0.430584, 0.415978, -0.067703, -0.435226, -0.000767, 0.050959, -0.005043, 0.001275, 0.050699, -0.004093, 0.007537, 0.044792, 0.003767, -0.008299, 0.045543, 0.003614, -0.419986, -0.066738, -0.436529, 0.424535, -0.064738, -0.433309, -0.422324, -0.068411, -0.430624, 0.416017, -0.068747, -0.435253
0.006707, -0.000003, 0.001482, -0.000227, 0.005346, -0.000081, -0.420122, -0.064575, -0.436787, 0.424649, -0.062567, -0.433575, -0.422159, -0.066526, -0.430508, 0.415827, -0.06684, -0.435153, 0.00004, 0.045703, -0.004534, 0.00159, 0.046165, -0.003761, 0.007518, 0.040362, 0.003484, -0.006812, 0.04134, 0.003392, -0.419993, -0.065663, -0.436643, 0.424579, -0.063658, -0.433395, -0.422178, -0.067464, -0.430551, 0.415866, -0.067769, -0.435187
